id,titulo,titulo_ingles,score,episodios,estado,tipo,fecha_inicio,fecha_fin,rating,popularidad,miembros,generos,fecha_extraccion
52991,Sousou no Frieren,Frieren: Beyond Journey's End,9.26,28.0,Finished Airing,TV,2023-09-29T00:00:00+00:00,2024-03-22T00:00:00+00:00,PG-13 - Teens 13 or older,106,1383692,"['Adventure', 'Award Winning', 'Drama', 'Fantasy']",2026-03-24T17:35:53.734989
61469,Steel Ball Run: JoJo no Kimyou na Bouken,Steel Ball Run: JoJo's Bizarre Adventure,9.25,,Currently Airing,ONA,2026-03-19T00:00:00+00:00,,R - 17+ (violence & profanity),1707,155543,"['Action', 'Adventure', 'Mystery', 'Supernatural']",2026-03-24T17:35:53.735017
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,9.11,64.0,Finished Airing,TV,2009-04-05T00:00:00+00:00,2010-07-04T00:00:00+00:00,R - 17+ (violence & profanity),3,3656115,"['Action', 'Adventure', 'Drama', 'Fantasy']",2026-03-24T17:35:53.735022
57555,Chainsaw Man Movie: Reze-hen,Chainsaw Man – The Movie: Reze Arc,9.09,1.0,Finished Airing,Movie,2025-09-19T00:00:00+00:00,,R - 17+ (violence & profanity),613,431864,"['Action', 'Fantasy']",2026-03-24T17:35:53.735027
9253,Steins;Gate,Steins;Gate,9.07,24.0,Finished Airing,TV,2011-04-06T00:00:00+00:00,2011-09-14T00:00:00+00:00,PG-13 - Teens 13 or older,14,2794136,"['Drama', 'Sci-Fi', 'Suspense']",2026-03-24T17:35:53.735030
38524,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,9.05,10.0,Finished Airing,TV,2019-04-29T00:00:00+00:00,2019-07-01T00:00:00+00:00,R - 17+ (violence & profanity),20,2569309,"['Action', 'Drama', 'Suspense']",2026-03-24T17:35:53.735033
28977,Gintama°,Gintama Season 4,9.05,51.0,Finished Airing,TV,2015-04-08T00:00:00+00:00,2016-03-30T00:00:00+00:00,PG-13 - Teens 13 or older,348,687963,"['Action', 'Comedy', 'Sci-Fi']",2026-03-24T17:35:53.735036
39486,Gintama: The Final,Gintama: The Very Final,9.05,1.0,Finished Airing,Movie,2021-01-08T00:00:00+00:00,,PG-13 - Teens 13 or older,1510,181795,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",2026-03-24T17:35:53.735038
11061,Hunter x Hunter (2011),Hunter x Hunter,9.03,148.0,Finished Airing,TV,2011-10-02T00:00:00+00:00,2014-09-24T00:00:00+00:00,PG-13 - Teens 13 or older,8,3161817,"['Action', 'Adventure', 'Fantasy']",2026-03-24T17:35:53.735058
60022,One Piece Fan Letter,,9.02,1.0,Finished Airing,TV Special,2024-10-20T00:00:00+00:00,,PG-13 - Teens 13 or older,1774,148752,"['Action', 'Adventure', 'Fantasy']",2026-03-24T17:35:53.735061
59978,Sousou no Frieren 2nd Season,Frieren: Beyond Journey's End Season 2,9.02,10.0,Currently Airing,TV,2026-01-16T00:00:00+00:00,2026-03-27T00:00:00+00:00,PG-13 - Teens 13 or older,593,443390,"['Adventure', 'Drama', 'Fantasy']",2026-03-24T17:35:53.735063
9969,Gintama',Gintama Season 2,9.02,51.0,Finished Airing,TV,2011-04-04T00:00:00+00:00,2012-03-26T00:00:00+00:00,PG-13 - Teens 13 or older,406,609898,"['Action', 'Comedy', 'Sci-Fi']",2026-03-24T17:35:53.735067
15417,Gintama': Enchousen,Gintama: Enchousen,9.02,13.0,Finished Airing,TV,2012-10-04T00:00:00+00:00,2013-03-28T00:00:00+00:00,PG-13 - Teens 13 or older,758,356373,"['Action', 'Comedy', 'Sci-Fi']",2026-03-24T17:35:53.735069
820,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,9.02,110.0,Finished Airing,OVA,1988-01-08T00:00:00+00:00,1997-03-17T00:00:00+00:00,R - 17+ (violence & profanity),755,360124,"['Drama', 'Sci-Fi']",2026-03-24T17:35:53.735072
34096,Gintama.,Gintama Season 5,8.98,12.0,Finished Airing,TV,2017-01-09T00:00:00+00:00,2017-03-27T00:00:00+00:00,PG-13 - Teens 13 or older,789,346706,"['Action', 'Comedy', 'Sci-Fi']",2026-03-24T17:35:53.735075
41467,Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,8.98,13.0,Finished Airing,TV,2022-10-11T00:00:00+00:00,2022-12-27T00:00:00+00:00,R - 17+ (violence & profanity),343,694342,"['Action', 'Adventure', 'Supernatural']",2026-03-24T17:35:53.735077
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,8.96,13.0,Finished Airing,TV,2022-04-09T00:00:00+00:00,2022-06-25T00:00:00+00:00,PG-13 - Teens 13 or older,164,1099202,"['Comedy', 'Romance']",2026-03-24T17:35:53.735079
42938,Fruits Basket: The Final,Fruits Basket: The Final Season,8.94,13.0,Finished Airing,TV,2021-04-06T00:00:00+00:00,2021-06-29T00:00:00+00:00,PG-13 - Teens 13 or older,443,558291,"['Drama', 'Romance', 'Supernatural']",2026-03-24T17:35:53.735082
4181,Clannad: After Story,Clannad: After Story,8.93,24.0,Finished Airing,TV,2008-10-03T00:00:00+00:00,2009-03-27T00:00:00+00:00,PG-13 - Teens 13 or older,123,1279541,"['Drama', 'Romance']",2026-03-24T17:35:53.735085
918,Gintama,Gintama,8.93,201.0,Finished Airing,TV,2006-04-04T00:00:00+00:00,2010-03-25T00:00:00+00:00,PG-13 - Teens 13 or older,147,1148715,"['Action', 'Comedy', 'Sci-Fi']",2026-03-24T17:35:53.735088
28851,Koe no Katachi,A Silent Voice,8.93,1.0,Finished Airing,Movie,2016-09-17T00:00:00+00:00,,PG-13 - Teens 13 or older,19,2593109,"['Award Winning', 'Drama']",2026-03-24T17:35:53.735090
2904,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,8.92,25.0,Finished Airing,TV,2008-04-06T00:00:00+00:00,2008-09-28T00:00:00+00:00,R - 17+ (violence & profanity),48,1941860,"['Award Winning', 'Drama', 'Sci-Fi']",2026-03-24T17:35:53.735093
58514,Kusuriya no Hitorigoto 2nd Season,The Apothecary Diaries Season 2,8.91,24.0,Finished Airing,TV,2025-01-10T00:00:00+00:00,2025-07-04T00:00:00+00:00,PG-13 - Teens 13 or older,536,481381,"['Drama', 'Mystery']",2026-03-24T17:35:53.735096
35180,3-gatsu no Lion 2nd Season,March Comes In Like a Lion 2nd Season,8.9,22.0,Finished Airing,TV,2017-10-14T00:00:00+00:00,2018-03-31T00:00:00+00:00,PG-13 - Teens 13 or older,606,436531,['Drama'],2026-03-24T17:35:53.735098
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,8.89,1.0,Finished Airing,Movie,2013-07-06T00:00:00+00:00,,PG-13 - Teens 13 or older,1068,261468,"['Action', 'Comedy', 'Sci-Fi']",2026-03-24T17:35:53.735101
