ciudad,temperatura,humedad,velocidad_viento,descripcion
Bogotá,32.98,58,7.22,Lluvioso
Bogotá,24.1,61,4.43,Soleado
Bogotá,28.38,61,5.29,Soleado
Bogotá,34.67,57,4.39,Soleado
Bogotá,33.85,53,8.69,Nublado
Bogotá,30.62,71,2.48,Lluvioso
Bogotá,20.78,74,4.58,Soleado
Bogotá,16.02,94,1.65,Nublado
Bogotá,18.0,70,9.4,Nublado
Bogotá,34.45,74,8.48,Soleado
Bogotá,16.37,52,3.9,Lluvioso
Bogotá,26.25,81,1.82,Lluvioso
Bogotá,31.23,57,9.33,Soleado
Bogotá,31.43,81,5.8,Soleado
Bogotá,28.73,89,6.27,Soleado
Bogotá,21.63,76,1.04,Nublado
Bogotá,21.04,80,9.43,Lluvioso
Bogotá,31.3,66,1.02,Lluvioso
Bogotá,22.67,76,8.88,Soleado
Bogotá,20.88,100,3.33,Soleado
Bogotá,24.99,61,3.3,Lluvioso
Bogotá,24.85,71,7.75,Nublado
Bogotá,17.16,77,7.58,Nublado
Bogotá,26.62,80,6.24,Lluvioso
Bogotá,29.75,68,2.89,Lluvioso
Bogotá,31.11,87,8.87,Soleado
Bogotá,34.56,86,3.39,Nublado
Bogotá,22.84,57,4.52,Soleado
Bogotá,18.76,75,2.52,Soleado
Bogotá,25.66,86,9.7,Lluvioso
Bogotá,18.63,96,8.04,Nublado
Bogotá,34.26,77,3.29,Soleado
Bogotá,31.12,88,4.79,Soleado
Bogotá,20.86,68,2.35,Nublado
Bogotá,23.27,52,6.2,Nublado
Bogotá,17.83,57,7.15,Nublado
Bogotá,29.67,59,7.6,Nublado
Bogotá,32.5,61,3.53,Soleado
Bogotá,27.81,59,2.35,Lluvioso
Bogotá,21.05,54,2.4,Nublado
Bogotá,30.86,58,3.48,Soleado
Bogotá,17.77,88,6.92,Lluvioso
Bogotá,20.33,85,5.58,Lluvioso
Bogotá,28.93,69,6.76,Lluvioso
Bogotá,33.1,52,1.61,Nublado
Bogotá,27.96,86,6.5,Lluvioso
Bogotá,15.22,82,6.57,Lluvioso
Bogotá,29.92,100,6.16,Nublado
Bogotá,18.88,75,4.04,Lluvioso
Bogotá,19.12,69,6.81,Lluvioso
Bogotá,16.05,72,2.15,Lluvioso
Bogotá,21.28,85,1.76,Lluvioso
Bogotá,32.76,86,2.66,Lluvioso
Bogotá,25.05,59,7.54,Lluvioso
Bogotá,21.17,70,8.89,Soleado
Bogotá,20.69,85,1.75,Soleado
Bogotá,31.44,85,3.03,Soleado
Bogotá,34.44,54,7.04,Nublado
Bogotá,21.23,76,6.84,Soleado
Bogotá,25.14,79,2.92,Soleado
Bogotá,20.5,50,6.27,Lluvioso
Bogotá,17.49,74,8.03,Nublado
Bogotá,30.63,54,7.54,Soleado
Bogotá,30.74,75,3.81,Soleado
Bogotá,32.84,66,8.7,Lluvioso
Bogotá,16.4,75,3.76,Soleado
Bogotá,22.15,56,1.63,Soleado
Bogotá,15.69,86,3.21,Lluvioso
Bogotá,26.73,67,6.72,Soleado
Bogotá,25.41,68,5.79,Lluvioso
Bogotá,21.87,68,2.41,Nublado
Bogotá,17.55,69,1.79,Soleado
Bogotá,15.95,86,5.36,Lluvioso
Bogotá,19.48,63,5.81,Lluvioso
Bogotá,21.89,92,2.27,Soleado
Bogotá,23.81,70,9.78,Soleado
Bogotá,19.31,64,1.72,Nublado
Bogotá,20.26,63,9.44,Nublado
Bogotá,20.61,80,2.68,Soleado
Bogotá,34.16,91,9.82,Nublado
Bogotá,26.64,74,2.16,Nublado
Bogotá,24.43,78,1.99,Nublado
Bogotá,25.61,72,1.65,Nublado
Bogotá,27.73,74,3.95,Lluvioso
Bogotá,25.11,71,5.91,Nublado
Bogotá,17.09,75,2.69,Nublado
Bogotá,19.55,82,8.0,Nublado
Bogotá,19.57,75,9.1,Lluvioso
Bogotá,16.56,90,9.35,Soleado
Bogotá,22.36,81,3.84,Lluvioso
Bogotá,25.59,97,1.85,Lluvioso
Bogotá,34.61,58,8.15,Nublado
Bogotá,16.53,72,6.39,Nublado
Bogotá,16.9,98,9.63,Soleado
Bogotá,23.42,97,6.13,Nublado
Bogotá,18.41,54,9.33,Nublado
Bogotá,26.74,91,8.33,Soleado
Bogotá,25.53,84,1.45,Soleado
Bogotá,23.36,100,5.85,Lluvioso
Bogotá,20.86,51,3.46,Nublado
Bogotá,28.67,57,9.22,Soleado
Bogotá,18.78,70,7.61,Nublado
Bogotá,29.09,91,3.49,Lluvioso
Bogotá,19.83,95,5.99,Lluvioso
Bogotá,31.71,65,9.54,Lluvioso
Bogotá,28.7,81,6.59,Lluvioso
Bogotá,27.12,82,6.13,Lluvioso
Bogotá,34.76,100,7.17,Soleado
Bogotá,33.84,87,3.01,Soleado
Bogotá,19.23,54,2.12,Nublado
Bogotá,19.74,89,6.16,Lluvioso
Bogotá,22.35,75,1.49,Nublado
Bogotá,28.96,87,1.09,Nublado
Bogotá,15.66,51,3.18,Soleado
Bogotá,17.84,79,3.61,Soleado
Bogotá,32.83,87,7.53,Soleado
Bogotá,16.95,52,5.94,Lluvioso
Bogotá,20.46,58,9.78,Soleado
Bogotá,26.91,52,7.72,Lluvioso
Bogotá,30.4,82,8.45,Nublado
Bogotá,29.54,57,1.05,Lluvioso
Bogotá,16.63,91,9.59,Soleado
Bogotá,19.34,69,1.74,Nublado
Bogotá,17.73,77,1.4,Lluvioso
Bogotá,18.33,58,2.87,Lluvioso
Bogotá,22.13,77,5.23,Nublado
Bogotá,34.7,85,5.18,Lluvioso
Bogotá,30.02,80,4.03,Lluvioso
Bogotá,15.2,94,3.08,Nublado
Bogotá,27.4,60,3.69,Soleado
Bogotá,28.13,73,8.47,Lluvioso
Bogotá,27.15,97,1.53,Lluvioso
Bogotá,19.89,84,1.59,Lluvioso
Bogotá,34.61,89,7.0,Lluvioso
Bogotá,33.58,100,4.73,Nublado
Bogotá,15.46,87,2.01,Nublado
Bogotá,34.54,62,9.45,Lluvioso
Bogotá,26.52,93,4.41,Soleado
Bogotá,29.53,69,1.67,Soleado
Bogotá,19.4,100,3.05,Lluvioso
Bogotá,17.34,90,7.45,Lluvioso
Bogotá,17.63,89,8.86,Soleado
Bogotá,18.29,66,8.62,Nublado
Bogotá,26.76,86,3.14,Nublado
Bogotá,31.08,52,8.44,Nublado
Bogotá,29.4,94,9.69,Nublado
Bogotá,20.49,98,8.85,Soleado
Bogotá,29.27,72,1.65,Soleado
Bogotá,27.88,67,4.24,Soleado
Bogotá,31.02,71,4.6,Lluvioso
Bogotá,34.42,75,2.6,Soleado
Bogotá,27.45,90,8.03,Lluvioso
Bogotá,18.39,77,6.7,Nublado
Bogotá,30.97,74,9.44,Lluvioso
Bogotá,24.82,66,1.5,Nublado
Bogotá,23.67,88,7.75,Lluvioso
Bogotá,24.24,70,2.72,Soleado
Bogotá,21.69,51,8.35,Nublado
Bogotá,28.07,51,5.67,Soleado
Bogotá,33.76,81,6.87,Nublado
Bogotá,32.34,76,4.06,Lluvioso
Bogotá,26.41,94,8.25,Nublado
Bogotá,21.16,91,2.65,Lluvioso
Bogotá,34.32,82,2.8,Nublado
Bogotá,25.45,50,6.03,Nublado
Bogotá,34.26,65,1.06,Nublado
Bogotá,30.64,71,5.05,Lluvioso
Bogotá,32.29,89,8.23,Soleado
Bogotá,30.18,75,3.89,Nublado
Bogotá,25.67,50,8.51,Lluvioso
Bogotá,31.07,87,7.26,Nublado
Bogotá,19.53,55,7.19,Soleado
Bogotá,19.53,79,4.66,Soleado
Bogotá,23.37,98,2.97,Lluvioso
Bogotá,26.5,55,4.6,Soleado
Bogotá,26.33,93,7.0,Soleado
Bogotá,24.19,88,4.53,Nublado
Bogotá,33.45,85,5.47,Soleado
Bogotá,30.53,90,6.96,Lluvioso
Bogotá,29.5,67,6.84,Nublado
Bogotá,34.37,85,1.32,Soleado
Bogotá,27.3,53,6.81,Nublado
Bogotá,27.02,80,2.29,Lluvioso
Bogotá,31.75,80,4.66,Lluvioso
Bogotá,22.65,59,6.58,Nublado
Bogotá,21.95,54,1.7,Nublado
Bogotá,19.41,82,4.39,Nublado
Bogotá,19.82,60,8.15,Lluvioso
Bogotá,32.6,89,7.12,Nublado
Bogotá,29.7,80,4.95,Lluvioso
Bogotá,30.64,100,1.32,Soleado
Bogotá,19.74,83,1.8,Soleado
Bogotá,30.88,58,1.37,Nublado
